Code,Title1,Title,Name,Des,Tag,Pro,Time,Course,Credit
957601,전공,핀테크전공,인공지능,인공지능의 기본적인 기술동향과 이론을 공부하고 파이썬을 사용하여 머신러닝과 딥러닝의 개념들을 익힌다.,"실습,중간시험,기말시험",차대현,"수1,2,3",3학점,4.77
961301,전공,핀테크전공,데이터분석과시각화,정보와 데이터의 사용자인지 효과를 높이기 위해 시각적 요소와 인간의 인지적 특성에 관련된 이론 이해.,"중간시험,기말시험,실습",유진호,"화2,3,4",3학점,3.67
3007001,전공,IOT전공,첨단기술의이해,"빅데이터분석,iot,첨단로봇공학,청정에너지기술등 첨단기술을 학습하는 발표&토론중심의 과목.","중간시험,기말시험",채규수,"목5,6",3학점,0
3007002,전공,IOT전공,첨단기술의이해,"빅데이터분석,iot,첨단로봇공학,청정에너지기술등 첨단기술을 학습하는 발표&토론중심의 과목.","발표,중간시험,기말시험",신은정,"금4,5,6",3학점,0
3008501,전공,IOT전공,제어공학입문,시스템 제어의 기본 이론을 익히고 아날로그 및 디지털 방식의 제어에 대한 지식을 학습한다.,"실습,팀플 ",김동규,"목4,5,6",3학점,0
982601,전공,IOT전공,스타트업챌린지,"창업의 전반적 과정을 이해하고, 창업성공의 토대가 되는 기업가정신에 대하여 학습한다.",팀플,김춘광,"수5,6",3학점,0
982701,전공,IOT전공,스타트업실전창업,"창업의 전반적 과정을 이해하고, 창업성공의 토대가 되는 기업가정신에 대하여 학습한다.",팀플,이감용,"화2,3",3학점,0
367002,전공,IOT전공,c언어프로그래밍,C언어의 문법을 익혀서 응용프로그램을 개발할 수 있는 전공의 ICT기반 능력을 함양.,"실습,중간시험,기말시험",구미순,"월7,8,9",3학점,0
367003,전공,IOT전공,c언어프로그래밍,C언어의 문법을 익혀서 응용프로그램을 개발할 수 있는 전공의 ICT기반 능력을 함양.,"실습,중간시험,기말시험",구미순,"화7,8,9",3학점,0
367004,전공,IOT전공,c언어프로그래밍,C언어의 문법을 익혀서 응용프로그램을 개발할 수 있는 전공의 ICT기반 능력을 함양.,"팀플,중간시험,기말시험",이승화,"수1,2,3",3학점,4.73
367005,전공,IOT전공,c언어프로그래밍,C언어의 문법을 익혀서 응용프로그램을 개발할 수 있는 전공의 ICT기반 능력을 함양.,"팀플,발표,중간시험,기말시험",김귀정,"월4,5,6",3학점,4.27
367006,전공,IOT전공,c언어프로그래밍,C언어의 문법을 익혀서 응용프로그램을 개발할 수 있는 전공의 ICT기반 능력을 함양.,"팀플,발표,중간시험,기말시험",김귀정,"목4,5,6",3학점,4.27
948101,전공,IOT전공,파이썬프로그래밍,파이썬 프로그램을 이용하여 IT분야 프로그램을 개발할 수 있는 능력을 배양하는교과목,"과제,실습,중간시험,기말시험",홍경호,"수1,2,3",3학점,2.33
948102,전공,IOT전공,파이썬프로그래밍,파이썬 프로그램을 이용하여 IT분야 프로그램을 개발할 수 있는 능력을 배양하는교과목,"팀플,중간시험,기말시험",김동우,"목1,2,3",3학점,3.33
948104,전공,IOT전공,파이썬프로그래밍,파이썬 프로그램을 이용하여 IT분야 프로그램을 개발할 수 있는 능력을 배양하는교과목,"중간시험,기말시험",구미순,"목7,8,9",3학점,4.6
367101,전공,IOT전공,JAVA프로그래밍,객체지향 개념을 기반으로 자바언어 문법 및 프로그래밍 기법을 학습한다.,"실습,중간시험,기말시험",강윤희,"월4,5,6",3학점,3.31
367102,전공,IOT전공,JAVA프로그래밍,객체지향 개념을 기반으로 자바언어 문법 및 프로그래밍 기법을 학습한다.,"실습,중간시험,기말시험",강윤희,"화5,6,7",3학점,3.31
367103,전공,IOT전공,JAVA프로그래밍,객체지향 개념을 기반으로 자바언어 문법 및 프로그래밍 기법을 학습한다.,"과제,중간시험,기말시험",유진호,"월7,8,9",3학점,4.63
367104,전공,IOT전공,JAVA프로그래밍,객체지향 개념을 기반으로 자바언어 문법 및 프로그래밍 기법을 학습한다.,"실습,개인프로젝트",이수연,"화2,3,4",3학점,5
367404,전공,IOT전공,데이터베이스이론및실습,"데이터베이스의 기본개념과 일반 이론에 대하여 학습하며, 데이터베이스 모델을 설계한다.","중간시험,기말시험,실습",강상규,"월1,2,3",3학점,0
367402,전공,IOT전공,데이터베이스이론및실습,"데이터베이스의 기본개념과 일반 이론에 대하여 학습하며, 데이터베이스 모델을 설계한다.","실습,중간시험,기말시험",한군희,"화2,3,4",3학점,3.56
367406,전공,IOT전공,데이터베이스이론및실습,"데이터베이스의 기본개념과 일반 이론에 대하여 학습하며, 데이터베이스 모델을 설계한다.","실습,중간시험,기말시험",이창은,"화5,6,7,8",3학점,0
367407,전공,IOT전공,데이터베이스이론및실습,"데이터베이스의 기본개념과 일반 이론에 대하여 학습하며, 데이터베이스 모델을 설계한다.","실습,중간시험,기말시험",이창은,"수5,6,7,8",3학점,0
118201,전공,IOT전공,데이터통신,"OSI계층구조,전송매체,데이터링크 프로토콜에 대해 학습하고,TCP/IP프로토콜을 이해한다.","실습,보고서,중간시험,기말시험",임석구,"월5,6,7",3학점,4.26
118202,전공,IOT전공,데이터통신,"OSI계층구조,전송매체,데이터링크 프로토콜에 대해 학습하고,TCP/IP프로토콜을 이해한다.","중간시험,기말시험,발표,팀플",김민년,"화2,3",3학점,0
623801,전공,IOT전공,컴퓨터네트워크,"OS 7계층을 중심으로 관련 프로토콜, TCP/IP에 제시되고 있는 주요 프로토콜을 중심으로 학습하고 실무능력개발.","팀플,기말시험",홍진근,"월1,2,3",3학점,3.38
910801,전공,IOT전공,웹프로그래밍,자바스크립트를 이용하여 웹어플리케이션을 개발하는 방법을 학습,"팀플,실습",강경우,"수7,8,9",3학점,3.94
910802,전공,IOT전공,웹프로그래밍,자바스크립트를 이용하여 웹어플리케이션을 개발하는 방법을 학습,"중간시험,팀플,발표",구민정,"월7,8,9",3학점,0
797501,전공,IOT전공,드론제어및실습,"드론 동작원리를 이해하고 제어부로 사용되는 아두이노의 하드웨어와 센서부,모터구동부등을 학습한다.","중간시험,기말시험,실습,발표",윤택현,"목1,2,3,4",3학점,0
957601,전공,IOT전공,인공지능,인공지능의 기본적인 기술동향과 이론을 공부하고 파이썬을 사용하여 머신러닝과 딥러닝의 개념들을 익힌다.,"실습,중간시험,기말시험",차대현,"수1,2,3",3학점,4.77
776801,전공,IOT전공,캡스톤디자인,팀별 프로젝트 계획을 세우고 정해진 문서 포맷에 따라 한학기 동안 프로젝트를 진행한다. ,팀플,차대현,"월1,2,3",3학점,0
958201,전공,IOT전공,클라우드응용시스템,클라우드 환경에서 자원구축을 위한 오픈소스 기반 도구를 학습한다.(도커&쿠버네티스 같은 자동화 도구활용),"중간시험,기말시험,실습",김진성,"수7,8,9",3학점,0
